ad_title,ad_description,details,slug,title,type,price,timestamp,posted_date,deactivation_date,category,parent_category,location,geo_region,area,is_delivery_free,is_doorstep_delivery,is_dsd_applicable,is_member,is_authorized_dealer,is_featured_member,is_verified,membership_level,member_since,properties,user,price_clean,sqft,price_per_sqft,city_clean
"3 Br Apartment for Sale in Wonder Homes, Mount Lavinia (sa 1138) | ikman","â¦ 4th Floor
â¦ 1500 sqft Floor area
â¦ 3 bedrooms
â¦ 3 attached bathrooms

Apartment Specifications
â¦ Unfurnished
â¦ Tiled floor finish
â¦ Split type Air Conditioners
â¦ Light...","Bedrooms: 3, Bathrooms: 3",3-br-apartment-for-sale-in-wonder-homes-mount-lavinia-sa-1138-for-sale-colombo,"3 Br Apartment for Sale in Wonder Homes, Mount Lavinia (sa 1138)",for_sale,"Rs 29,900,000",09 Jan 12:46 pm,2023-01-09T12:46:40+05:30,2023-01-09T05:32:30.000Z,Apartments For Sale,Property,Mount Lavinia,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,May 2016,"{'Bedrooms': '3', 'Bathrooms': '3', 'Size': '1,500 sqft'}",bbf48b3ed63e6d11736d7d3373077d93b16e9a9aa0e0a0fdad17c99ac7401804,29900000.0,1500.0,19933.333333333332,Mount Lavinia
Luxury 3 Bedroom Apartment for sale in Malabe | ikman.lk,"3 bedroom apartment consisting of approximately 1594 square feet, spacious sitting & dining areas, Pantry area equipped with fitted pantry cupboards (Without cooker & hob...","Bedrooms: 3, Bathrooms: 3",luxury-3-bedroom-apartment-for-sale-in-malabe-for-sale-colombo-20,Luxury 3 Bedroom Apartment for sale in Malabe,for_sale,"Rs 35,000,000",10 Nov 10:52 am,2022-11-10T10:52:45+05:30,2023-01-09T04:14:12.000Z,Apartments For Sale,Property,Malabe,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,premium,May 2016,"{'Address': 'No.158/4, Athurugiriya Road, Malabe', 'Bedrooms': '3', 'Bathrooms': '3', 'Size': '1,594 sqft'}",7af673582dcb09799d981b9cca92e5542e13539469b55ee135347d0d0b422baa,35000000.0,1594.0,21957.3400250941,Malabe
Brand New 3 Bedroom Apartment for sale in Malabe | ikman.lk,"3 bedroom apartment consisting of approximately 1594 square feet, spacious sitting & dining areas, Pantry area equipped with fitted pantry cupboards (Without cooker & hob...","Bedrooms: 3, Bathrooms: 3",brand-new-3-bedroom-apartment-for-sale-in-malabe-for-sale-colombo-30,Brand New 3 Bedroom Apartment for sale in Malabe,for_sale,"Rs 35,000,000",10 Nov 10:28 am,2022-11-10T10:28:01+05:30,2023-01-09T03:59:18.000Z,Apartments For Sale,Property,Malabe,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,premium,May 2016,"{'Address': 'No.158/4, Athurugiriya Road, Malabe', 'Bedrooms': '3', 'Bathrooms': '3', 'Size': '1,594 sqft'}",7af673582dcb09799d981b9cca92e5542e13539469b55ee135347d0d0b422baa,35000000.0,1594.0,21957.3400250941,Malabe
Luxury 2 Bedroom Apartment for sale in Malabe | ikman.lk,"2 Bedroom apartment consisting of a spacious sitting area, dining area, and Pantry area equipped with fitted pantry cupboards (without cooker & Hob) for immediate sale....","Bedrooms: 2, Bathrooms: 2",luxury-2-bedroom-apartment-for-sale-in-malabe-for-sale-colombo-17,Luxury 2 Bedroom Apartment for sale in Malabe,for_sale,"Rs 24,500,000",10 Nov 10:16 am,2022-11-10T10:16:52+05:30,2023-01-09T03:54:41.000Z,Apartments For Sale,Property,Malabe,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,premium,May 2016,"{'Address': 'No.158/4, Athurugiriya Road, Malabe', 'Bedrooms': '2', 'Bathrooms': '2', 'Size': '1,150 sqft'}",7af673582dcb09799d981b9cca92e5542e13539469b55ee135347d0d0b422baa,24500000.0,1150.0,21304.347826086956,Malabe
Brand New 2 Bedroom Apartment for sale in Malabe | ikman.lk,"2 Bedroom apartment consisting of a spacious sitting area, dining area, and Pantry area equipped with fitted pantry cupboards (without cooker & Hob) for immediate sale....","Bedrooms: 2, Bathrooms: 2",brand-new-2-bedroom-apartment-for-sale-in-malabe-for-sale-colombo-25,Brand New 2 Bedroom Apartment for sale in Malabe,for_sale,"Rs 24,500,000",10 Nov 2:02 pm,2022-11-10T14:02:22+05:30,2023-01-09T03:37:05.000Z,Apartments For Sale,Property,Colombo 3,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,premium,May 2016,"{'Address': 'No.158/4, Athurugiriya Road, Malabe', 'Bedrooms': '2', 'Bathrooms': '2', 'Size': '1,150 sqft'}",7af673582dcb09799d981b9cca92e5542e13539469b55ee135347d0d0b422baa,24500000.0,1150.0,21304.347826086956,Colombo 3
(HI338)Moratuwa New Well-Maintained Apartment is for sale | ikman.lk,"(HI338)New Well-Maintained Apartment is for sale in Moratuwa.
					
Sq ft: 1425		Beds: 3			
Bath: 3		Parking: 1		
					
Residential Purpose				
Respected Neighborhood...","Bedrooms: 3, Bathrooms: 3",hi338moratuwa-new-well-maintained-apartment-is-for-sale-for-sale-colombo,(HI338)Moratuwa New Well-Maintained Apartment is for sale,for_sale,"Rs 29,500,000",10 Nov 8:34 am,2022-11-10T08:34:18+05:30,2023-01-09T03:04:16.000Z,Apartments For Sale,Property,Moratuwa,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,April 2022,"{'Address': 'MORATUWA', 'Bedrooms': '3', 'Bathrooms': '3', 'Size': '1,425 sqft'}",009eab4319d42c0bac1f8a324164b5d781aebd7c64f73acac4b48c78c28ba0b9,29500000.0,1425.0,20701.754385964912,Moratuwa
Colombo 3 bedroom apartment for sale unbelievable price | ikman.lk,"Colombo 3 3 bedroom apartment  for sale for unbelievable price

Sqft 1270 sqft
3 Bedroom 
2 Bathroom
Gym
Swimming pool
Higher floor

Price 50 million","Bedrooms: 3, Bathrooms: 2",colombo-3-bedroom-apartment-for-sale-unbelievable-price-for-sale-colombo,Colombo 3 bedroom apartment for sale unbelievable price,for_sale,"Rs 50,000,000",10 Nov 7:56 am,2022-11-10T07:56:24+05:30,2023-01-09T02:26:22.000Z,Apartments For Sale,Property,Colombo 3,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,plus,April 2021,"{'Bedrooms': '3', 'Bathrooms': '2', 'Size': '1,270 sqft'}",60cf1e2b49952101ca18e9b7476c65333261c2f077404e87bd0bdf2dd1b368d9,50000000.0,1270.0,39370.07874015748,Colombo 3
Apartment Sale Colombo 3 | ikman.lk,Apartment sell,"Bedrooms: 3, Bathrooms: 3",apartment-sale-colombo-3-for-sale-colombo,Apartment Sale Colombo 3,for_sale,"Rs 56,000,000",10 Nov 6:49 am,2022-11-10T06:49:24+05:30,2023-01-08T18:27:32.000Z,Apartments For Sale,Property,Colombo 3,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,December 2016,"{'Address': 'Colombo 3', 'Bedrooms': '3', 'Bathrooms': '3', 'Size': '1,400 sqft'}",8d2cb732bba88d997786126ebe2d97703cbad2f8bcf5041b56fb1139c995dddd,56000000.0,1400.0,40000.0,Colombo 3
"3 Bedrooms Apartment for Sale, Wellawatte - 20 Mn | ikman.lk","3 Bedrooms Apartment for Sale, Moor Road, Wellawatte - 900 Sq.Ft - 20 Mn
3 Bedrooms + 2 Bathrooms
20 Years Old
It's on 5th Floor
COC and Deed available

PROPERTIES @ SHAL...","Bedrooms: 3, Bathrooms: 2",3-bedrooms-apartment-for-sale-wellawatte-20-mn-for-sale-colombo,"3 Bedrooms Apartment for Sale, Wellawatte - 20 Mn",for_sale,"Rs 20,000,000",10 Nov 2:23 pm,2022-11-10T14:23:32+05:30,2023-01-08T16:43:14.000Z,Apartments For Sale,Property,Colombo 6,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,plus,October 2019,"{'Address': 'Moor Road', 'Bedrooms': '3', 'Bathrooms': '2', 'Size': '900 sqft'}",ae616f7b38fe17c56b423d279f0054065f2018de6cf8cf27f82efd56cc608c2c,20000000.0,900.0,22222.222222222223,Colombo 6
3 Bedrooms Apartment For Sale In Malabe - A14657 | ikman.lk,"3 Bedrooms Apartment For Sale In Malabe

Property Code: A14657 
Malabe
Chandrika Kumaratunga Mawatha
970 Sq.ft
3 Rooms
3 Bathrooms
Living area 
Dining area 
Pantry 
Tenni...","Bedrooms: 3, Bathrooms: 3",3-bedrooms-apartment-for-sale-in-malabe-a14657-for-sale-colombo,3 Bedrooms Apartment For Sale In Malabe - A14657,for_sale,"Rs 35,000,000",10 Nov 6:19 am,2022-11-10T06:19:38+05:30,2023-01-08T16:25:33.000Z,Apartments For Sale,Property,Malabe,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,May 2016,"{'Address': 'Malabe Chandrika Kumaratunga Mawatha', 'Bedrooms': '3', 'Bathrooms': '3', 'Size': '970 sqft'}",c537a04544cb99bf88e52e4dfc621a9d3c94087ae3df9c9c92c698eb47392bfa,35000000.0,970.0,36082.47422680412,Malabe
